category,file,line,owner,sourceWidget,actionSource,trailingKind,icon,classification,canonicalAction,canonicalIcon,needsMigration,notes
"vit_header","flutter_app/lib/app/router/internal_surface_gate.dart","92","_InternalSurfaceRestrictedPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard.dart","54","_ABTestDashboardState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart","42","AdminSettingsPage","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/admin/presentation/pages/analytics_dashboard.dart","60","_AnalyticsDashboardState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/admin/presentation/pages/funnel_dashboard.dart","66","_FunnelDashboardState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/arena/presentation/pages/arena_blocked_users_page.dart","76","_ArenaBlockedUsersPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/arena/presentation/pages/arena_challenge_detail_page.dart","113","_ArenaChallengeDetailPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/arena/presentation/pages/arena_creator_page.dart","78","_ArenaCreatorPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/arena/presentation/pages/arena_flow_map_page.dart","95","_ArenaFlowMapPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/arena/presentation/pages/arena_governance_gate_page.dart","118","_ArenaGovernanceGatePageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/arena/presentation/pages/arena_guide_page.dart","85","_ArenaGuidePageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/arena/presentation/pages/arena_join_page.dart","85","_ArenaJoinPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/arena/presentation/pages/arena_leaderboard_page.dart","104","_ArenaLeaderboardPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
"vit_header","flutter_app/lib/features/arena/presentation/pages/arena_mode_detail_page.dart","72","_ArenaModeDetailPageState","VitHeader","showBack","-","Icons.chevron_left_rounded","canonical","back","Icons.chevron_left_rounded","no","Back action is present."
